long	lat	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	srtm	ndvi	ndvistd	qscat	tree
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-71.24834	48.21127	1.50833332538605	10.6333332061768	23.8951301574707	1203.564453125	22.6000003814697	-21.8999996185303	44.5	14.5	-7.28333330154419	15.6333332061768	-14.1666669845581	1203	141	64	24.8618125915527	395	208	378	232	361	8756	3577	-1009	70
-71.21386	48.20507	1.47083342075348	10.5749998092651	23.764045715332	1202.49450683594	22.6000003814697	-21.8999996185303	44.5	14.4833335876465	-7.31666660308838	15.6166667938232	-14.1833333969116	1209	141	65	24.9059009552002	396	208	380	234	378	8412	3237	-997	67
-71.24658	48.20999	1.50833332538605	10.6333332061768	23.8951301574707	1203.564453125	22.6000003814697	-21.8999996185303	44.5	14.5	-7.28333330154419	15.6333332061768	-14.1666669845581	1203	141	64	24.8618125915527	395	208	378	232	361	8756	3577	-1009	70
-71.27568	48.22794	1.52499997615814	10.6999998092651	23.9373588562012	1206.50610351562	22.7000007629395	-22	44.7000007629395	14.5	-7.28333330154419	15.6333332061768	-14.216667175293	1181	140	63	26.5312652587891	394	196	372	228	348	9006	3278	-1009	70
-71.27634	48.22521	1.52499997615814	10.6999998092651	23.9373588562012	1206.50610351562	22.7000007629395	-22	44.7000007629395	14.5	-7.28333330154419	15.6333332061768	-14.216667175293	1181	140	63	26.5312652587891	394	196	372	228	348	9006	3278	-1009	70
-71.27622	48.22477	1.49166667461395	10.7166662216187	24.0284004211426	1206.41430664062	22.6000003814697	-22	44.5999984741211	14.4499998092651	-7.31666660308838	15.6166667938232	-14.2333335876465	1192	139	63	25.638011932373	395	202	373	230	353	8787	3328	-1013	68
-71.27514	48.22317	1.49166667461395	10.7166662216187	24.0284004211426	1206.41430664062	22.6000003814697	-22	44.5999984741211	14.4499998092651	-7.31666660308838	15.6166667938232	-14.2333335876465	1192	139	63	25.638011932373	395	202	373	230	353	8787	3328	-1013	68
-71.27328	48.22162	1.36666655540466	10.716667175293	24.0823974609375	1205.34851074219	22.5	-22	44.5	14.3333330154419	-7.43333339691162	15.533332824707	-14.3166666030884	1209	141	64	25.6835021972656	400	204	380	234	404	8833	3440	-1013	67
-71.25106	48.20907	1.47916674613953	10.6416664123535	23.9138584136963	1202.49450683594	22.6000003814697	-21.8999996185303	44.5	14.4333333969116	-7.30000019073486	15.6000003814697	-14.1833333969116	1204	140	64	25.0019664764404	396	207	378	232	369	8770	3260	-1013	63
-71.24239	48.20925	1.50833332538605	10.6333332061768	23.8951301574707	1203.564453125	22.6000003814697	-21.8999996185303	44.5	14.5	-7.28333330154419	15.6333332061768	-14.1666669845581	1203	141	64	24.8618125915527	395	208	378	232	361	8756	3577	-1009	70
